"Distance","Width","ID","MT"
"370","50","3.0703893278914","604.40425531915"
"370","50","3.0703893278914","604.60790273556"
"370","50","3.0703893278914","592.0547112462"
"370","50","3.0703893278914","604.02431610942"
"370","50","3.0703893278914","588.57446808511"
"370","50","3.0703893278914","613.17325227964"
"370","50","3.0703893278914","587.00911854103"
"370","50","3.0703893278914","608.36474164134"
"240","10","4.6438561897747","846.4103343465"
"240","10","4.6438561897747","855.27051671733"
"240","10","4.6438561897747","873.38601823708"
"240","10","4.6438561897747","859.38905775076"
"240","10","4.6438561897747","875.85106382979"
"240","10","4.6438561897747","862.7537993921"
"240","10","4.6438561897747","860.34042553191"
"240","10","4.6438561897747","854.37386018237"
"180","70","1.8365012677171","414.6170212766"
"180","70","1.8365012677171","415.76595744681"
"180","70","1.8365012677171","411.20668693009"
"180","70","1.8365012677171","400.44072948328"
"180","70","1.8365012677171","405.82978723404"
"180","70","1.8365012677171","413.18844984802"
"180","70","1.8365012677171","403.74468085106"
"180","70","1.8365012677171","400.67781155015"
